epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2078.56,0.65237,0.5801,1.21272,0.96227,0.98147,0.9918,0.88475,0.48558,0.37624,1.06005,0.000270445,0.000270445,0.000270445
73,2107.25,0.67638,0.5953,1.22867,0.97779,0.97652,0.99265,0.88036,0.4865,0.36991,1.05864,0.000268381,0.000268381,0.000268381
74,2136.15,0.66364,0.62811,1.19943,0.97307,0.97376,0.99133,0.87606,0.49638,0.37593,1.06188,0.000266317,0.000266317,0.000266317
75,2165.7,0.6455,0.59034,1.17973,0.9602,0.96581,0.99091,0.878,0.51037,0.39874,1.0823,0.000264253,0.000264253,0.000264253
76,2194.91,0.68611,0.62617,1.24179,0.94829,0.98401,0.98959,0.88498,0.49715,0.37894,1.06626,0.000262189,0.000262189,0.000262189
77,2223.96,0.65523,0.61329,1.20061,0.9541,0.98086,0.98805,0.88936,0.46784,0.36496,1.03618,0.000260125,0.000260125,0.000260125
78,2251.99,0.6746,0.60146,1.20778,0.96601,0.96542,0.98839,0.88311,0.45816,0.35249,1.02755,0.00025806,0.00025806,0.00025806
79,2279.83,0.66039,0.59022,1.20078,0.96777,0.99118,0.99176,0.89755,0.46412,0.35083,1.04499,0.000255996,0.000255996,0.000255996
80,2308.05,0.63047,0.58914,1.19383,0.97287,0.96618,0.99088,0.89277,0.46981,0.35946,1.04609,0.000253932,0.000253932,0.000253932
81,2335.35,0.6368,0.61729,1.18449,0.97372,0.98674,0.99186,0.90228,0.44189,0.3463,1.02352,0.000251868,0.000251868,0.000251868
82,2364.65,0.66242,0.6506,1.19521,0.97488,0.98582,0.99351,0.89707,0.48763,0.36993,1.07395,0.000249804,0.000249804,0.000249804
83,2393.07,0.65784,0.59705,1.20341,0.96522,0.97622,0.99177,0.89347,0.4781,0.35384,1.068,0.00024774,0.00024774,0.00024774
84,2419.89,0.64697,0.56395,1.19678,0.97452,0.9876,0.99336,0.90509,0.44787,0.34448,1.02264,0.000245676,0.000245676,0.000245676
85,2448.76,0.60604,0.55262,1.17182,0.98712,0.97554,0.99372,0.89426,0.4656,0.35674,1.03536,0.000243611,0.000243611,0.000243611
86,2476.07,0.59752,0.56753,1.17791,0.98393,0.98668,0.99431,0.9069,0.44592,0.33603,1.01685,0.000241547,0.000241547,0.000241547
87,2506.01,0.64676,0.64956,1.22826,0.98902,0.98345,0.99415,0.90085,0.4506,0.33255,1.01968,0.000239483,0.000239483,0.000239483
88,2533.73,0.60295,0.56665,1.18541,0.98178,0.9733,0.99213,0.91206,0.42279,0.31657,0.98206,0.000237419,0.000237419,0.000237419
89,2564.36,0.58737,0.57533,1.15198,0.98514,0.97212,0.99251,0.8994,0.44892,0.31148,1.01143,0.000235355,0.000235355,0.000235355
90,2591.42,0.59233,0.5226,1.1733,0.97027,0.97785,0.98879,0.90535,0.43076,0.31861,0.98923,0.000233291,0.000233291,0.000233291
91,2619.4,0.60682,0.54058,1.17479,0.96972,0.96202,0.9904,0.89385,0.44746,0.34182,1.02185,0.000231226,0.000231226,0.000231226
92,2647.1,0.60944,0.55797,1.18937,0.97837,0.98166,0.99157,0.90508,0.4272,0.32025,0.99849,0.000229162,0.000229162,0.000229162
93,2675.07,0.62327,0.59071,1.20601,0.97862,0.98061,0.99393,0.91081,0.4277,0.33057,0.99213,0.000227098,0.000227098,0.000227098
94,2703.8,0.60045,0.5498,1.16211,0.97494,0.96987,0.99252,0.89991,0.4659,0.34475,1.01963,0.000225034,0.000225034,0.000225034
95,2733.3,0.61027,0.65468,1.17634,0.97108,0.96981,0.99166,0.90116,0.43146,0.34249,0.99454,0.00022297,0.00022297,0.00022297
96,2761.02,0.59656,0.52765,1.17483,0.97921,1,0.99384,0.90807,0.42233,0.31099,0.98247,0.000220906,0.000220906,0.000220906
97,2788.89,0.57132,0.49869,1.13959,0.9793,0.99167,0.99388,0.91114,0.42934,0.32307,0.98973,0.000218842,0.000218842,0.000218842
98,2816.31,0.55623,0.49885,1.12759,0.97757,0.98953,0.99412,0.91598,0.40923,0.3168,0.97178,0.000216777,0.000216777,0.000216777
99,2844.95,0.55903,0.51973,1.13766,0.96744,0.98734,0.99207,0.90981,0.40178,0.32624,0.96521,0.000214713,0.000214713,0.000214713
100,2871.96,0.55159,0.46909,1.13877,0.97329,0.98232,0.99112,0.91641,0.38915,0.31019,0.95108,0.000212649,0.000212649,0.000212649
101,2900.26,0.59118,0.54169,1.17013,0.9824,0.98611,0.99276,0.91805,0.39952,0.30611,0.96823,0.000210585,0.000210585,0.000210585
102,2930.02,0.54231,0.48297,1.11804,0.97921,0.98244,0.99377,0.91786,0.40472,0.30758,0.97512,0.000208521,0.000208521,0.000208521
103,2960.47,0.56514,0.51224,1.15545,0.97851,0.97917,0.99346,0.92586,0.40437,0.30334,0.97202,0.000206457,0.000206457,0.000206457
104,2990.86,0.56694,0.49849,1.14508,0.98305,0.97924,0.99316,0.92633,0.39023,0.29067,0.96281,0.000204393,0.000204393,0.000204393
105,3019.73,0.56878,0.52331,1.13967,0.97917,0.98098,0.99283,0.93234,0.37929,0.28835,0.95082,0.000202328,0.000202328,0.000202328
106,3051,0.53042,0.42977,1.11711,0.97262,0.98901,0.99281,0.92201,0.39445,0.28976,0.95354,0.000200264,0.000200264,0.000200264
107,3082.15,0.53803,0.44811,1.13153,0.97361,0.98881,0.99186,0.92087,0.38496,0.29169,0.94432,0.0001982,0.0001982,0.0001982
108,3114.92,0.55488,0.49333,1.12045,0.97573,0.98474,0.99351,0.92489,0.38875,0.30053,0.9502,0.000196136,0.000196136,0.000196136
109,3144.26,0.55816,0.48293,1.16039,0.97228,0.9782,0.98868,0.91884,0.39938,0.30516,0.95911,0.000194072,0.000194072,0.000194072
110,3172.18,0.53242,0.56668,1.12979,0.97271,0.97403,0.98799,0.93157,0.37348,0.29546,0.94078,0.000192008,0.000192008,0.000192008
111,3203.06,0.5451,0.52196,1.12678,0.96999,0.98245,0.991,0.9268,0.39056,0.29338,0.95996,0.000189943,0.000189943,0.000189943
112,3233.18,0.56513,0.48912,1.13331,0.98563,0.97756,0.99201,0.93549,0.37038,0.2895,0.94331,0.000187879,0.000187879,0.000187879
113,3263.98,0.52528,0.48329,1.09296,0.97288,0.98875,0.99256,0.93872,0.36863,0.29919,0.93897,0.000185815,0.000185815,0.000185815
114,3294.56,0.5234,0.49785,1.11595,0.98024,0.98457,0.99426,0.93885,0.35262,0.27628,0.91501,0.000183751,0.000183751,0.000183751
115,3323.72,0.4998,0.45389,1.0969,0.97582,0.98369,0.99368,0.93686,0.34688,0.26647,0.91152,0.000181687,0.000181687,0.000181687
116,3351.92,0.48621,0.43225,1.08953,0.96923,0.98075,0.99342,0.93521,0.35378,0.27114,0.92037,0.000179623,0.000179623,0.000179623
117,3379.72,0.53168,0.46746,1.10632,0.97497,0.98925,0.99362,0.92882,0.38737,0.28723,0.94429,0.000177559,0.000177559,0.000177559
118,3408.07,0.48875,0.42739,1.08535,0.97191,0.99266,0.99451,0.93542,0.38051,0.28647,0.93961,0.000175494,0.000175494,0.000175494
119,3435.21,0.51943,0.47536,1.09251,0.97627,0.99535,0.99399,0.93188,0.37272,0.27514,0.9314,0.00017343,0.00017343,0.00017343
120,3463.12,0.5287,0.45261,1.12259,0.97716,0.98391,0.99277,0.92785,0.38595,0.28762,0.94413,0.000171366,0.000171366,0.000171366
121,3490.27,0.53369,0.47606,1.16216,0.97985,0.9792,0.9921,0.90992,0.43137,0.31259,0.98679,0.000169302,0.000169302,0.000169302
122,3519.02,0.51538,0.45058,1.10613,0.98017,0.99169,0.99279,0.93602,0.38755,0.28629,0.96234,0.000167238,0.000167238,0.000167238
123,3545.82,0.50855,0.43017,1.09983,0.98628,0.9848,0.99315,0.93945,0.36675,0.27858,0.94019,0.000165174,0.000165174,0.000165174
124,3574.94,0.50825,0.48302,1.11491,0.98262,0.98996,0.99363,0.94923,0.35448,0.25976,0.92161,0.00016311,0.00016311,0.00016311
125,3603.27,0.47686,0.41279,1.08222,0.98638,0.9875,0.99366,0.94494,0.35843,0.26107,0.91904,0.000161045,0.000161045,0.000161045
126,3630.75,0.4658,0.44493,1.08708,0.97943,0.9898,0.9933,0.95062,0.33772,0.2612,0.90027,0.000158981,0.000158981,0.000158981
127,3659.41,0.5041,0.46364,1.09944,0.97306,0.99121,0.99293,0.95623,0.31741,0.25271,0.87485,0.000156917,0.000156917,0.000156917
128,3687.97,0.53366,0.44319,1.13093,0.98463,0.9875,0.99283,0.95872,0.32732,0.26087,0.88034,0.000154853,0.000154853,0.000154853
129,3716.54,0.50451,0.4291,1.09765,0.98137,0.99161,0.99335,0.94618,0.34885,0.25982,0.90797,0.000152789,0.000152789,0.000152789
130,3744.22,0.49838,0.42311,1.11625,0.98702,0.9875,0.99324,0.94949,0.34352,0.25662,0.9073,0.000150725,0.000150725,0.000150725
131,3772.15,0.44675,0.38582,1.0667,0.9855,0.98634,0.9932,0.95089,0.34298,0.26475,0.9085,0.00014866,0.00014866,0.00014866
132,3800.78,0.46084,0.37896,1.08182,0.98219,0.98857,0.99353,0.94663,0.32985,0.26321,0.9025,0.000146596,0.000146596,0.000146596
133,3828.41,0.51719,0.41627,1.10763,0.98136,0.99167,0.99358,0.96169,0.30925,0.24969,0.8824,0.000144532,0.000144532,0.000144532
134,3857.04,0.48807,0.39266,1.09547,0.98493,0.99113,0.99351,0.95346,0.315,0.2531,0.88493,0.000142468,0.000142468,0.000142468
135,3885.47,0.47132,0.39787,1.06668,0.9785,0.98867,0.99314,0.95646,0.31172,0.25443,0.87832,0.000140404,0.000140404,0.000140404
136,3914.43,0.45954,0.45293,1.08115,0.98884,0.98935,0.99442,0.94775,0.32815,0.25624,0.88876,0.00013834,0.00013834,0.00013834
137,3942.83,0.47583,0.44741,1.08648,0.98921,0.98153,0.9931,0.95207,0.32455,0.26167,0.88836,0.000136276,0.000136276,0.000136276
138,3970.08,0.4772,0.42923,1.09184,0.99012,0.97465,0.99296,0.9557,0.32425,0.25991,0.88311,0.000134211,0.000134211,0.000134211
139,3998.57,0.52955,0.41607,1.1809,0.99095,0.97545,0.9928,0.94861,0.32942,0.25442,0.88828,0.000132147,0.000132147,0.000132147
140,4025.77,0.44681,0.38123,1.0708,0.98686,0.98289,0.99303,0.95733,0.3093,0.24513,0.87155,0.000130083,0.000130083,0.000130083
141,4053.51,0.44019,0.40265,1.06931,0.99126,0.98688,0.99325,0.95792,0.30192,0.23859,0.86731,0.000128019,0.000128019,0.000128019
142,4081.63,0.45514,0.40142,1.06871,0.98725,0.98285,0.9934,0.96127,0.3035,0.24521,0.87121,0.000125955,0.000125955,0.000125955
143,4109.68,0.44168,0.41326,1.06147,0.98953,0.99098,0.99376,0.95422,0.31763,0.24624,0.88387,0.000123891,0.000123891,0.000123891
144,4137.45,0.46633,0.38898,1.11087,0.98988,0.99167,0.99389,0.9587,0.3084,0.24191,0.87504,0.000121827,0.000121827,0.000121827
145,4165.25,0.40899,0.42738,1.05168,0.97911,0.99014,0.99372,0.96015,0.298,0.23842,0.86442,0.000119762,0.000119762,0.000119762
146,4192.87,0.56703,0.50246,1.2105,0.98997,0.9875,0.99378,0.95669,0.30454,0.24199,0.86743,0.000117698,0.000117698,0.000117698
147,4220.28,0.41965,0.36806,1.03639,0.99111,0.98709,0.99367,0.95731,0.30823,0.25306,0.87062,0.000115634,0.000115634,0.000115634
148,4248.26,0.4326,0.38259,1.0476,0.98854,0.9908,0.99476,0.95853,0.30743,0.2456,0.87193,0.00011357,0.00011357,0.00011357
149,4275.9,0.42838,0.38827,1.05724,0.98953,0.9952,0.99435,0.96235,0.30836,0.23528,0.87451,0.000111506,0.000111506,0.000111506
